game_id,game_type,game_name,game_releasedate,game_developer,game_publisher,game_price,game_discountedprice,game_discountpercent
357,bundle,Thomas Was Alone + Volume,nan,Bithell Games,Bithell Games,26.98,26.98,0
358,bundle,Indie VR Bundle,nan,Reddoll Srl,IV Production,9.56,9.56,0
359,bundle,Monstrum - Deluxe Edition,nan,Team Junkfish,Junkfish Limited,20.68,20.68,0
360,app,Half-Life Deathmatch: Source,"May 1, 2006",Valve,Valve,9.99,9.99,0
361,bundle,Danganronpa 1 + 2,nan,"Spike Chunsoft Co., Ltd.",Spike Chunsoft Co.,35.98,35.98,0
363,bundle,Subterrain - OST Edition,nan,Pixellore,Pixellore,16.98,16.98,0
365,bundle,The Deed Collection,nan,Pilgrim Adventures,GrabTheGames,2.38,2.38,0
367,bundle,Age of Wonders Franchise,nan,Triumph Studios,Paradox Interactive,80.68,80.68,0
374,bundle,Goat Simulator: GOATY,nan,Coffee Stain Studios,Coffee Stain Publishing,27.85,27.85,0
375,bundle,NEOGEO Bundle,nan,SNK CORPORATION,SNK CORPORATION,30.02,30.02,0
376,bundle,RPG Maker Millennium Collection,nan,KADOKAWA,Degica,233.94,233.94,0
378,bundle,PRO ANGLER SPORT BUNDLE,nan,Fishing Planet LLC,Fishing Planet LLC,19.93,19.93,0
379,bundle,Baldur's Gate: The Complete Saga,nan,Beamdog,Beamdog,82.73,82.73,0
380,app,Half-Life 2: Episode One,"Jun 1, 2006",Valve,Valve,7.99,7.99,0
381,bundle,Grim Legends Collection,nan,Artifex Mundi,Artifex Mundi,24.87,24.87,0
382,bundle,Abbey Games Bundle,nan,Abbey Games,Abbey Games,35.96,35.96,0
385,bundle,Stories: The Path of Destinies Collector's Edition,nan,Spearhead Games,Spearhead Games,23.97,23.97,0
388,bundle,Gold Indie Games Pack,nan,Triple-Star Studio,Rock Path Collective,7.97,7.97,0
400,app,Portal,"Oct 10, 2007",Valve,Valve,9.99,9.99,0
401,bundle,Waveform Bundle,nan,Eden Industries,Eden Industries,1.68,1.68,0
403,bundle,Monster Mayhem Bundle,nan,Game Mechanics LLC,Playboom,10.8,10.8,0
404,bundle,Shadow Warrior Collection,nan,General Arcade,Devolver Digital,80.97,80.97,0
406,bundle,Zeno Archives,nan,Team Grybanser Fox,Team Grybanser Fox,11.98,11.98,0
408,bundle,Zenodyne R + Soundtrack,nan,Team Grybanser Fox,Team Grybanser Fox,11.98,11.98,0
414,bundle,Black Lime Studio's Collection,nan,Black Lime Studio,Black Lime Studio,11.32,11.32,0
415,bundle,Dinosaur Hunt Mega Bundle,nan,Racing Bros,ANPA.US,56.86,5.45,90.42
416,bundle,FobTi Indie Bundle,nan,FobTi interactive,FobTi interactive,31.94,22.06,30.93
417,bundle,Tokyo School Life Soundtrack Edition,nan,"M2 Co.,LTD",Dogenzaka Lab,16.18,16.18,0
418,sub,Wolf Pack,nan,Gray Matter Studios,Bethesda-Softworks,4.99,4.99,0
419,bundle,Butcher Boy Promo Edition,nan,Casual.US,Casual.US,2.6,2.6,0
420,app,Half-Life 2: Episode Two,"Oct 10, 2007",Valve,Valve,7.99,7.99,0
423,bundle,London Faversham Collection,nan,Dovetail Games,Dovetail Games - Trains,67.96,67.96,0
425,sub,DOOM 3 Pack,nan,id Software,id Software,9.99,4.99,50.05
427,bundle,No Time to Explain Collector's Edition,nan,tinyBuild,tinyBuild,19.52,19.52,0
428,bundle,10tons Shooters,nan,10tons Ltd,10tons Ltd,74.64,74.64,0
430,bundle,Novus Inceptio: Soundtrack Edition,nan,McMagic Productions,McMagic Productions,22.48,22.48,0
434,sub,QUAKE Collection,nan,id Software,id Software,24.99,4.99,80.03
435,bundle,SpeedRunners Deluxe Pack,nan,DoubleDutch Games,tinyBuild,20.36,20.36,0
437,bundle,Fort Defense Complete Edition,nan,Creobit,8Floor,10.97,5.17,52.87
439,sub,Heretic + Hexen Collection,nan,Raven Software,id Software,9.99,4.99,50.05
440,app,Team Fortress 2,"Oct 10, 2007",Valve,Valve,0,0,0
441,bundle,Zup! [11-13],nan,Quiet River,Quiet River,2.67,2.67,0
443,bundle,Life is Hard with Soundtrack,nan,Pirozhok Studio,Pirozhok Studio,10.43,10.43,0
445,bundle,Roll7 RETROspective,nan,Roll7,Devolver Digital,41.21,41.21,0
447,bundle,The Escapists: Complete Pack,nan,Mouldy Toof Studios,Team17 Digital Ltd,26.05,26.05,0
451,bundle,Homeworld Remastered Collection Deluxe Edition,nan,Gearbox Software,Gearbox Publishing,44.85,44.85,0
459,bundle,The Light Sword Bundle,nan,The Light Sword Team,The Light Sword Team,6.65,6.65,0
460,sub,Total War: MEDIEVAL II - Definitive Edition,nan,The Creative Assembly,SEGA,24.99,24.99,0
461,bundle,Daedalic Adventure Bundle II,nan,Daedalic Entertainment,Daedalic Entertainment,79.95,42.55,46.78
462,bundle,Complete Trese Brothers Pack,nan,Trese Brothers,Trese Brothers,39.56,39.56,0
463,sub,Rome: Total War™ Collection,nan,The Creative Assembly,SEGA,12.99,12.99,0
464,bundle,Hidden Object Bundle,nan,RunServer,RunServer,49.9,19.21,61.5
469,sub,The Orange Box,nan,Valve,Valve,19.99,9.99,50.03
471,bundle,The Revills Games' Solitaire Collection,nan,The Revills Games,The Revills Games,13.46,13.46,0
473,bundle,Pug Life Bundle,nan,Space Cat Studios,Back To Basics Gaming,1.92,1.92,0
474,bundle,Cally's Caves Definitive Collection,nan,VDO Games,VDO Games,19.96,14.18,28.96
476,bundle,Hero Siege Complete,nan,Elias Viglione,Panic Art Studios,40.72,40.72,0
477,bundle,The Dream Machine - Full Game,nan,Cockroach Inc.,The Sleeping Machine,19.95,19.95,0
481,bundle,Awesome Bundle by New Reality Games,nan,mesetts,New Reality Games,3.9,3.9,0
482,bundle,Super Mega Bundle by New Reality Games,nan,Flying Robot Studios,New Reality Games,12.4,12.4,0
483,bundle,"Gremlins, Inc. – The Governor Edition",nan,Alexey Bokulev,The Merchant Guild of Rund (Limited),35.93,35.93,0
488,bundle,Fantasy Grounds Deadlands Reloaded Bundle,nan,"SmiteWorks USA, LLC",SmiteWorks USA,150.13,150.13,0
490,bundle,Flat Kingdom Deluxe Edition,nan,Fat Panda Games,Games Starter,12.98,12.98,0
492,bundle,Season #2 Pro Bundle,nan,Overhead Games,nan,184.53,184.53,0
494,bundle,Endless Loop Management,nan,Endless Loop Studios,Endless Loop Studios,17.39,17.39,0
497,bundle,Mecha Ritz: Steel Rondo Soundtrack Edition,nan,HEY,Hanaji Games,10.18,10.18,0
498,bundle,Back In Time Bundle,nan,Redro Games,Back To Basics Gaming,1.92,1.92,0
499,bundle,KHB-Soft Complete Pack,nan,KHB-Soft,KHB-Soft,9.95,5.8,41.71
500,app,Left 4 Dead,"Nov 17, 2008",Valve,Valve,9.99,9.99,0
506,bundle,Age of Fear Supporter Bundle,nan,Leslaw Sliwko,Age of Fear,104.91,53.91,48.61
507,bundle,The Screwfly Collection,nan,Screwfly Studios,Screwfly Studios,27.17,27.17,0
510,bundle,Lost Sea Game + Soundtrack,nan,Eastasiasoft Limited,Eastasiasoft Limited,16.98,16.98,0
511,bundle,10tons Total,nan,10tons Ltd,10tons Ltd,118.02,118.02,0
514,bundle,Storm Sharks,nan,storm_sharks,storm_sharks,3.28,3.28,0
516,bundle,Survivor Squad Complete,nan,Endless Loop Studios,Endless Loop Studios,6.38,6.38,0
525,bundle,Pure Pool + Snooker Bundle,nan,VooFoo Studios,Ripstone,11.98,11.98,0
526,bundle,Bros Bundle,nan,K Bros Games,K Bros Games,10.41,10.41,0
531,bundle,Classic Wargames,nan,Wastelands Interactive,Wastelands Interactive,44.96,16.46,63.39
532,bundle,Shadowrun Complete Collection,nan,Harebrained Schemes,Paradox Interactive,55.95,55.95,0
533,bundle,Spakoyno GOTY Edition,nan,Separate Game Development,Dagestan Technology,4.48,4.48,0
535,bundle,Games by Tonguç Bodur,nan,Tonguç Bodur,Tonguç Bodur,44.93,44.93,0
543,bundle,"Warhammer 40,000: Armageddon - Imperium Complete",nan,Flashback Games,Slitherine Ltd.,60.98,60.98,0
550,app,Left 4 Dead 2,"Nov 16, 2009",Valve,Valve,9.99,9.99,0
552,sub,Shadowgrounds Pack,nan,Frozenbyte,Frozenbyte,12.99,6.99,46.19
567,bundle,Back To Basics Mixer Bundle,nan,Back To Basics Gaming,Back To Basics Gaming,5.12,5.12,0
570,app,Dota 2,"Jul 9, 2013",Valve,Valve,0,0,0
571,bundle,Kingdom Tales Bundle,nan,Cateia Games,Libredia Entertainment,8.98,8.98,0
575,bundle,Sid Meier's Civilization V: Complete,nan,Firaxis Games,2K,49.33,49.33,0
577,bundle,Homeworld Remastered Collection and Deserts of Kharak Bundle,nan,Blackbird Interactive,Gearbox Publishing,63.73,63.73,0
585,bundle,Where Angels Cry Bundle,nan,Cateia Games,Libredia Entertainment,13.48,13.48,0
588,bundle,Dyna Bomb - Game + OST Pack #1,nan,7 Raven Studios,7 Raven Studios,3.98,3.98,0
590,bundle,Battle of Empires: 1914-1918 - Classic,nan,Great War Team,Best Way Soft,25.44,25.44,0
597,bundle,The Polynomial 1&2,nan,Dmytry Lavrov,Dmytry Lavrov,14.23,14.23,0
603,sub,Max Payne Bundle,nan,Remedy Entertainment,Rockstar Games,14.99,9.99,33.36
604,bundle,Risen Franchise Pack,nan,Piranha Bytes,Deep Silver,44.16,44.16,0
607,bundle,Sacred Franchise Pack,nan,Ascaron,Deep Silver,48.36,48.36,0
608,bundle,Lost Lands Collection,nan,FIVE-BN GAMES,FIVE-BN GAMES,41.94,29.9,28.71
611,bundle,1917 - The Alien Invasion - Game + OST Pack #1,nan,Andrade Games,OtakuMaker.com,4.78,4.78,0
612,bundle,Killing Floor 1 Complete Your Set!,nan,Tripwire Interactive,Tripwire Interactive,67.2,67.2,0
616,bundle,Tripwire Complete Bundle,nan,Tripwire Interactive,Tripwire Interactive,216.31,216.31,0
617,bundle,The Black Cube series,nan,Simon Says: Play!,Simon Says: Play!,37.77,37.77,0
620,app,Portal 2,"Apr 18, 2011",Valve,Valve,9.99,9.99,0
622,bundle,Age of Fear Series Bundle (Complete),nan,Leslaw Sliwko,Age of Fear,69.97,29.97,57.17
627,bundle,fault complete edition,nan,ALICE IN DISSOCE,Sekai Project,50.94,50.94,0
628,bundle,GTGD Complete Pack,nan,GTGD,GTGD,27.25,27.25,0
630,app,Alien Swarm,"Jul 19, 2010",Valve,Valve,0,0,0
633,bundle,Bloodbath Kavkaz GOTY Edition,nan,Dagestan Technology,Dagestan Technology,7.47,7.47,0
636,bundle,Battle vs Chess - Grandmaster Premium Edition,nan,nan,nan,14.97,14.97,0
637,bundle,Check vs Mate - Grandmaster Premium Edition,nan,Targem Games,Topware Interactive,29.96,29.96,0
647,bundle,Dancing Dragon RPG Complete,nan,Dancing Dragon Games,Degica,33.96,33.96,0
650,bundle,The Next World: Exploration Bundle,nan,Illuminated Games,AAD Productions,16.77,16.77,0
653,bundle,The Real Texas - Dusty Skies Edition,nan,Kitty Lambda Games Inc.,Kitty Lambda Games Inc.,17.08,17.08,0
657,bundle,Michalski Magic,nan,Harvester Games,Screen 7,31.11,31.11,0
658,bundle,Infernal Dream Collection,nan,GDNomad,Infernal Dream,7.2,7.2,0
660,app,Portal 2 Sixense MotionPack DLC,nan,Sixense Studios,Sixense Entertainment,0,0,0
667,bundle,Farnham Fables - Tape 1,nan,Ethrea Dreams,Sometimes You,1.78,1.78,0
668,bundle,Hiiro Collector's Edition,nan,Jon Tiburzi,Sometimes You,3.38,3.38,0
676,bundle,NEKOPARA complete edition,nan,NEKO WORKs,Sekai Project,29.66,29.66,0
680,bundle,The Bedtime Bundle,nan,Bedtime Digital Games,Bedtime Digital Games,30.97,9.37,69.74
683,sub,Unreal Deal Pack,nan,"Epic Games, Inc.",Epic Games,39.99,14.99,62.52
689,bundle,Sunrider Collection,nan,Love in Space,Sekai Project,31.97,31.97,0
692,bundle,Dogfight 1942 Complete Pack,nan,City Interactive,CI Games,11.01,11.01,0
697,bundle,Affairs of the Court - Deluxe Edition,nan,Choice of Games,Choice of Games,7.61,7.61,0
698,bundle,Digital Sound Factory: Session Drummer 3 Expansions,nan,nan,nan,0,0,0
701,bundle,onechanbara Z2 :Chaos All DLC Bundle,nan,TAMSOFT,D3 PUBLISHER,54.53,54.53,0
708,bundle,The Dope Game: Dope Fiend Edition,nan,CoaguCo Industries,CoaguCo Industries,2.68,2.68,0
709,bundle,Higurashi When They Cry Hou,nan,07th Expansion,MangaGamer,39.54,39.54,0
710,bundle,Sakura Bundle,nan,Winged Cloud,Winged Cloud,174.06,174.06,0
729,bundle,Dracula - Collection,nan,Koalabs,Microids,19.98,19.98,0
730,app,Counter-Strike: Global Offensive,"Aug 21, 2012","Valve,Hidden Path Entertainment",Valve,0,0,0
734,bundle,Goindol Bundle,nan,Studio Goindol,eigoMANGA,5.58,5.58,0
738,bundle,Infernal Dream: Premium Bundle,nan,GDNomad,Infernal Dream,8.75,8.75,0
743,bundle,Dungeons Bundle,nan,Realmforge Studios,Kalypso Media Digital,118.25,118.25,0
746,bundle,Lonely Troops Collection,nan,Lonely Troops,Lonely Troops,41.92,24.64,41.22
749,bundle,Fearsome Shadows Bundle,nan,Artifex Mundi,Artifex Mundi,27.96,27.96,0
754,bundle,Mysterious Places Bundle,nan,Artifex Mundi,Artifex Mundi,39.96,23.06,42.29
755,bundle,Rainbow Six Bundle,nan,Ubisoft Montreal,Ubisoft,53.95,53.95,0
757,bundle,Assassin's Creed Bundle,nan,Ubisoft Montreal,Ubisoft,98.96,98.96,0
778,bundle,Townopolis Romopolis Megapolis Collection,nan,Lonely Troops,Lonely Troops,10.17,10.17,0
779,bundle,Hero of the Kingdom Collection,nan,Lonely Troops,Lonely Troops,23.97,16.09,32.87
780,bundle,Eador Series Bundle,nan,Snowbird Games,Snowbird Games,42.46,42.46,0
809,bundle,Devil May Cry 4: Special Edition Demon Hunter Bundle,nan,"CAPCOM Co., Ltd.",CAPCOM Co.,35.99,35.99,0
813,bundle,The Big One Bundle,nan,Tomkorp Computer Solutions Inc.,Tomkorp Computer Solutions Inc.,28.22,28.22,0
818,bundle,Buy Revolve and the Revolve Soundtrack,nan,Rusty Bolt,Rusty Bolt,12.78,12.78,0
821,bundle,IN-VERT: Game + Soundtrack,nan,TERNOX,TERNOX,3.98,3.98,0
825,bundle,Back To Basics Mixer Bundle 2,nan,Mint Age Studios,Back To Basics Gaming,2.32,2.32,0
827,bundle,One Way Heroics + Plus Edition,nan,Smoking WOLF,AGM PLAYISM,8.98,8.98,0
829,bundle,Attack on Titan - Episode All Set,nan,"KOEI TECMO GAMES CO., LTD.",KOEI TECMO GAMES CO.,6.99,6.99,0
830,bundle,Attack on Titan - Costume All Set,nan,"KOEI TECMO GAMES CO., LTD.",KOEI TECMO GAMES CO.,37.67,37.67,0
831,bundle,Attack on Titan - Weapon All Set,nan,"KOEI TECMO GAMES CO., LTD.",KOEI TECMO GAMES CO.,5.96,5.96,0
833,bundle,RPG Heroes Bundle,nan,New Reality Games,New Reality Games,21.19,21.19,0
843,bundle,Quantum Rush Champions Full Pack,nan,GameArt Studio GmbH,GameArt Studio GmbH,12.77,12.77,0
845,bundle,GameArt Studio All Games,nan,GameArt Studio GmbH,GameArt Studio GmbH,20.93,20.93,0
846,bundle,A.I. Invasion Full Pack,nan,GameArt Studio GmbH,GameArt Studio GmbH,10.78,10.78,0
853,bundle,Bulb Boy + Soundtrack Bundle,nan,Bulbware,Bulbware,11.68,11.68,0
871,bundle,Tetradecagon + Soundtrack,nan,Geojitsu,nan,5.98,5.98,0
872,bundle,System Crash Deluxe Edition,nan,Rogue Moon Studios,Rogue Moon Studios,19.98,19.98,0
876,bundle,The Weird Collection,nan,Weird and Wry,Weird and Wry,20.97,20.97,0
877,bundle,Space Pilgrim Saga,nan,Pilgrim Adventures,GrabTheGames,15.92,7.17,54.96
883,bundle,3000AD SCI-FI COMPENDIUM,nan,3000AD,3000AD,55.94,55.94,0
893,bundle,2 Best Quest Games Bundle,nan,Absolutist Ltd.,Absolutist Ltd.,13.48,13.48,0
903,bundle,Valley + Soundtrack,nan,Blue Isle Studios,Blue Isle Studios,24.96,24.96,0
904,bundle,Blue Isle Catalog,nan,Blue Isle Studios,Blue Isle Studios,43.97,43.97,0
923,bundle,The Black Watchmen - Occult Agent Edition,nan,Alice & Smith,Alice & Smith,19.46,19.46,0
927,sub,Pacific Storm Pack,nan,Buka Entertainment,Buka Entertainment,13.99,7.99,42.89
929,bundle,Alice and Smith - Investigation Games,nan,Alice & Smith,Alice & Smith,55.94,55.94,0
934,bundle,Puzzle Game - Starter Pack,nan,Alice & Smith,Alice & Smith,12.73,12.73,0
936,bundle,Alawar Adventure Collection,nan,Boolat Games,Buka Entertainment,14.95,14.95,0
937,bundle,Aragami Collector's Edition,nan,Lince Works,Lince Works,26.97,26.97,0
941,bundle,Rising Islands Collector's Edition,nan,Lone Hero Studios,SOEDESCO Publishing,14.97,14.97,0
946,bundle,Quadrilateral Cowboy Deluxe Edition,nan,Blendo Games,Blendo Games,28.81,28.81,0
959,bundle,The Rhine Railway: Mannheim - Karlsruhe Collection,nan,Dovetail Games,Dovetail Games - Trains,95.95,95.95,0
960,bundle,North London Line Collection,nan,Dovetail Games,Dovetail Games - Trains,65.55,65.55,0
961,bundle,Digital Melody Bundle,nan,Digital Melody,Forever Entertainment S. A.,3.97,3.97,0
962,bundle,I am Setsuna Collector's Edition,nan,Tokyo RPG Factory,Square Enix,49.48,49.48,0
964,sub,X-COM: Complete Pack,nan,"MicroProse Software, Inc",2K,14.99,4.99,66.71
970,bundle,Soldier Summit Collection,nan,Dovetail Games,Dovetail Games - Trains,64.96,64.96,0
977,bundle,Puzzle Box - Game + DLC Pack #2,nan,BplusGames,OtakuMaker.com,11.18,11.18,0
978,sub,Multiwinia + Darwinia,nan,Introversion Software,Introversion Software,14.99,9.99,33.36
983,bundle,Supergiant Collection,nan,Supergiant Games,Supergiant Games,76.44,76.44,0
987,sub,Crysis® Maximum Edition,nan,Crytek,Electronic Arts,29.99,19.99,33.34
1002,bundle,The Turing Test Collector's Edition,nan,Bulkhead Interactive,Square Enix,23.98,23.98,0
1005,bundle,Moon Colonization Project: Deluxe Edition,nan,Belarus Games,BadDoge,3.73,3.73,0
1007,sub,Children of the Nile Pack,nan,"Tilted Mill Entertainment, Inc.",Tilted Mill Entertainment,9.99,2.49,75.08
1011,bundle,Dinosaur Hunt XXL Edition,nan,Racing Bros,ANPA.US,51.88,4.95,90.46
1012,bundle,Project Graviton + OST Bundle,nan,Balraj Singh Bains,Balraj Singh Bains,2.08,2.08,0
1013,bundle,Press X to Not Die: Special Edition,nan,All Seeing Eye Games,All Seeing Eye Games,3.58,3.58,0
1016,bundle,TankZone Battle and Underground Keeper,nan,Render System,Render System,12.78,12.78,0
1017,bundle,Complete,nan,Render System,Render System,24.76,24.76,0
1020,bundle,Roguelike Rampage Bundle - Black Shell Media,nan,Black Shell Games,Black Shell Media,32.25,32.25,0
1021,bundle,Back To Basics Sci Fi Bundle,nan,Mint Age Studios,Back To Basics Gaming,3.78,3.78,0
1024,bundle,Ocean Word Blast Bundle,nan,ZeroBit Games,Ocean Media LLC,6.68,6.68,0
1026,bundle,EVERY GAME WE'VE EVER MADE (thank you),nan,Stegalosaurus Game Development,Stegalosaurus Game Development,67.9,56,17.53
1027,bundle,Inexplicable Geeks: Everything,nan,Stegalosaurus Game Development,Stegalosaurus Game Development,13.97,11.97,14.32
1028,bundle,The Pixeljam Collection,nan,Pixeljam,Pixeljam,32.7,32.7,0
1034,bundle,Triangle Studios Bundle,nan,Triangle Studios,Triangle Studios,23.17,23.17,0
1041,bundle,DreamBreak- Soviet Bloc Edition,nan,Aist,Beatshapers,10.43,10.43,0
1047,bundle,Sins of a Solar Empire Gold,nan,Ironclad Games,Stardock Entertainment,69.09,69.09,0
1052,bundle,Ghost Sweeper + Dyna Bomb Studio Pack #1,nan,7 Raven Studios,7 Raven Studios,6.38,6.38,0
1057,bundle,Royal Bounty HD + Dwarf Tower,nan,iosoftware,Hack The Publisher,3.73,3.73,0
1068,bundle,The Girl and the Robot - Game + Soundtrack + Art Book,nan,Flying Carpets Games,Flying Carpets Games,11.88,11.88,0
1071,bundle,Tom Clancy's The Division - Streets of New York Outfit Bundle,nan,Massive Entertainment,nan,14.96,14.96,0
1077,bundle,Hitman Collection,nan,IO Interactive A/S,IO Interactive A/S,36.35,36.35,0
1103,bundle,Kindred Spirits Complete Collection,nan,Liar-soft,MangaGamer,72.85,72.85,0
1104,bundle,Dungeon Escape - Soundtrack Edition,nan,Alexey Roenko,Alexey Roenko,4.23,4.23,0
1105,bundle,Royal Defense Complete Edition,nan,Good Games,8Floor,6.38,6.38,0
1107,bundle,HOG bundle of bundles!,nan,Alawar Entertainment,Alawar Entertainment,33.56,33.56,0
1114,bundle,Okhlos: Olympus Edition,nan,Coffee Powered Machine,Devolver Digital,22.96,22.96,0
1119,bundle,Sumeru Deluxe Edition,nan,BigCheeseGames,BigCheeseGames,8.08,8.08,0
1126,bundle,Day D: Tower Rush Complete Edition,nan,Creobit,8Floor,9.57,9.57,0
1128,bundle,Airport Madness Collection,nan,Big Fat Simulations Inc.,Big Fat Simulations Inc.,66.95,47.15,29.57
1130,bundle,Princess.Loot.Pixel.Again + Soundtrack!,nan,EfimovMax,EfimovMax,4.48,4.48,0
1141,bundle,Battle vs Chess - Grandmaster Edition,nan,nan,nan,10.48,10.48,0
1147,bundle,8-Bit Hordes Complete Edition,nan,Petroglyph,Petroglyph,16.13,16.13,0
1150,bundle,Blade Ballet Turntable Edition,nan,DreamSail Games,DreamSail Games,18.98,18.98,0
1153,bundle,Pan-Pan: Planetary Pack,nan,Might and Delight,Might and Delight,24.61,24.61,0
1159,bundle,Offworld Trading Company Gold,nan,Mohawk Games,Stardock Entertainment,59.95,59.95,0
1160,sub,PopCap Favorites,nan,"PopCap Games, Inc.",PopCap Games,19.99,4.99,75.04
1161,bundle,Flump Studios Complete Pack,nan,Flump Studios,KISS ltd,12.87,12.87,0
1162,bundle,Fever Dreams,nan,Rail Slave Games,KISS ltd,29.94,17.45,41.72
1188,bundle,DMC4SE Demon Hunter Bundle + DmC Complete Pack,nan,Ninja Theory,Capcom,70.01,70.01,0
